"","cod_ibge","ano","mes","qtd_familias_beneficiarias_bolsa_familia","valor_repassado_bolsa_familia"
"154",510340,2016,10,21039,2787681
"155",510340,2016,11,20450,2763382
"156",510340,2016,12,20351,2628730
"157",510340,2017,1,19374,2433539
"158",510340,2017,2,19485,2497531
"159",510340,2017,3,19421,2439014
"160",510340,2017,4,19486,2454420
"161",510340,2017,5,18686,2387720
"162",510340,2017,6,18549,2379824
"163",510340,2017,7,18167,2317610
"164",510340,2017,8,18668,2366207
"165",510340,2017,9,18553,2339790
"166",510340,2017,10,18761,2339489
"167",510340,2017,11,18761,2357071
"168",510340,2017,12,19073,2386649
"169",510340,2018,1,19499,2412143
"170",510340,2018,2,19754,2420862
"171",510340,2018,3,20121,2462008
"172",510340,2018,4,19221,2352691
"173",510340,2018,5,19516,2417901
"174",510340,2018,6,19678,2424904
"175",510340,2018,7,20171,2662660
"176",510340,2018,8,20708,2708694
"177",510340,2018,9,21030,2754287
"178",510340,2018,10,21569,2823417
"179",510340,2018,11,22235,2906266
"180",510340,2018,12,21902,2844159
"181",510340,2019,1,20857,2731994
"182",510340,2019,2,21218,2775125
"183",510340,2019,3,21669,2819575
"184",510340,2019,4,21617,2823408
"185",510340,2019,5,22105,2899213
"186",510340,2019,6,21406,2807990
"187",510340,2019,7,20725,2758298
"188",510340,2019,8,20713,2775998
"189",510340,2019,9,20054,2703537
"190",510340,2019,10,19990,2701246
"191",510340,2019,11,19440,2657937
"192",510340,2019,12,19357,2653218
